Index,Clinic Name,Dentist Name,Address,Phone,Email,Website,Google Maps URL
1,Helvetic Clinics Budapest,,?,+36 1 808 8166,,,https://www.google.com/maps/place/Helvetic+Clinics+Budapest/data=!4m7!3m6!1s0x4741dc1e03f1ff2d:0xadbfeddb153a658d!8m2!3d47.5015301!4d19.0565571!16s%2Fg%2F12qg5blpl!19sChIJLf_xAx7cQUcRjWU6Fdvtv60?authuser=0&hl=am&rclk=1
2,Dentium Implant Center,,Szent István krt. 9. I,+36 20 666 8822,,,https://www.google.com/maps/place/Dentium+Implant+Center/data=!4m7!3m6!1s0x4741dc0efed00703:0xdec6aacecf94cddc!8m2!3d47.512236!4d19.0500423!16s%2Fg%2F11bw4ypn6g!19sChIJAwfQ_g7cQUcR3M2Uz86qxt4?authuser=0&hl=am&rclk=1
3,Madenta Fogászati Központ,,?,+36 1 267 1601,,,https://www.google.com/maps/place/Madenta+Fog%C3%A1szati+K%C3%B6zpont/data=!4m7!3m6!1s0x4741dc41ee3afda1:0x401dfffeb2b8a6a!8m2!3d47.4972638!4d19.0566354!16s%2Fg%2F12cpbx29t!19sChIJof067kHcQUcRaoor6__fAQQ?authuser=0&hl=am&rclk=1
4,Árkád Dental,,?,+36 20 851 2171,,,https://www.google.com/maps/place/%C3%81rk%C3%A1d+Dental/data=!4m7!3m6!1s0x4741dcaa3ea0e971:0x2de14e72f95fe853!8m2!3d47.5025944!4d19.1369881!16s%2Fg%2F11cnc23ln0!19sChIJcemgPqrcQUcRU-hf-XJO4S0?authuser=0&hl=am&rclk=1
5,Budapest Top Dental,,Teréz krt. 55. - 57,+36 30 287 8127,,,https://www.google.com/maps/place/Budapest+Top+Dental/data=!4m7!3m6!1s0x4741dc0d17c76fd1:0x98e60c9aa575abc4!8m2!3d47.510072!4d19.057051!16s%2Fg%2F11cns654q4!19sChIJ0W_HFw3cQUcRxKt1pZoM5pg?authuser=0&hl=am&rclk=1
6,Sanoral Dental and Oral Surgery,,?,+36 20 259 6363,,,https://www.google.com/maps/place/Sanoral+Dental+and+Oral+Surgery/data=!4m7!3m6!1s0x4741dc6f4eda2327:0x3fda2d3046158315!8m2!3d47.5029796!4d19.0562001!16s%2Fg%2F1tgz93v4!19sChIJJyPaTm_cQUcRFYMVRjAt2j8?authuser=0&hl=am&rclk=1
7,Artdent Dentistry,,?,+36 20 218 5343,,,https://www.google.com/maps/place/Artdent+Dentistry/data=!4m7!3m6!1s0x4741dc0499277249:0x7907b69fc1fcbe80!8m2!3d47.514767!4d19.0380119!16s%2Fg%2F11bvvzxcdy!19sChIJSXInmQTcQUcRgL78wZ-2B3k?authuser=0&hl=am&rclk=1
8,Budapest Dental,,?,+36 1 315 4545,,,https://www.google.com/maps/place/Budapest+Dental/data=!4m7!3m6!1s0x4741dc0efb7b3813:0xcdc6bbb3cd82634b!8m2!3d47.5125142!4d19.0502727!16s%2Fg%2F1tdvhywy!19sChIJEzh7-w7cQUcRS2OCzbO7xs0?authuser=0&hl=am&rclk=1
9,Avenue Dental Budapest,,?,+36 30 220 3992,,,https://www.google.com/maps/place/Avenue+Dental+Budapest/data=!4m7!3m6!1s0x4741dc7195a80a57:0x57b89714a329fd29!8m2!3d47.5081647!4d19.0665028!16s%2Fg%2F11c1t52hxr!19sChIJVwqolXHcQUcRKf0poxSXuFc?authuser=0&hl=am&rclk=1
10,Kreativ Dental Clinic,,?,+36 1 222 0199,,,https://www.google.com/maps/place/Kreativ+Dental+Clinic/data=!4m7!3m6!1s0x4741db5ad4dc18af:0x14eedef264e0b6b0!8m2!3d47.5152372!4d19.1333361!16s%2Fg%2F1tdc_g73!19sChIJrxjc1FrbQUcRsLbgZPLe7hQ?authuser=0&hl=am&rclk=1
