Index,Practitioner Name,Address,Phone,Email,Website,Google Maps URL
1,Patricia Loughlin - Reiki in Ireland,28 William St S,+353 87 620 9892,patricialoughlin@reikiinireland.com,http://www.reikiinireland.com/,https://www.google.com/maps/place/Patricia+Loughlin+-+Reiki+in+Ireland/data=!4m7!3m6!1s0x48670e9c48b94fcb:0x9acb99d7925eac78!8m2!3d53.3415664!4d-6.2631016!16s%2Fg%2F12hkp8xnk!19sChIJy0-5SJwOZ0gReKxekteZy5o?authuser=0&hl=am&rclk=1
2,Iain Ross Energy Healing,"Shiatsu and Thai Massage Training Scotland, 72 Berkeley St.",+44 7574 603267,,https://www.iainross.energy/,https://www.google.com/maps/place/Iain+Ross+Energy+Healing/data=!4m7!3m6!1s0x488847fc36e66f13:0xccd1923e2fe32a9b!8m2!3d55.8654184!4d-4.2752844!16s%2Fg%2F11h_wrddcl!19sChIJE2_mNvxHiEgRmyrjLz6S0cw?authuser=0&hl=am&rclk=1
3,"Reeya Avani | Reiki Master & Crystal Healer Mayfair, London",,+44 7507 523666,,https://www.reeyaavani.com/,"https://www.google.com/maps/place/Reeya+Avani+%7C+Reiki+Master+%26+Crystal+Healer+Mayfair,+London/data=!4m7!3m6!1s0x4876052bd8bd5a61:0x2d66d4cf21195171!8m2!3d51.5056999!4d-0.1359853!16s%2Fg%2F11byz5cjl7!19sChIJYVq92CsFdkgRcVEZIc_UZi0?authuser=0&hl=am&rclk=1"
4,Laura Reiki & Reflexology and Reiki Certified Courses,,+44 7544 012909,,https://cardiff-reiki-reflexology.com/,https://www.google.com/maps/place/Laura+Reiki+%26+Reflexology+and+Reiki+Certified+Courses/data=!4m7!3m6!1s0x486e1b5bd15e420d:0x7eb890918ff99ca8!8m2!3d51.4340987!4d-3.214595!16s%2Fg%2F11c2lg1gby!19sChIJDUJe0VsbbkgRqJz5j5GQuH4?authuser=0&hl=am&rclk=1
5,Healing Hands Edinburgh The Reiki School,151 London Rd,+44 7563 398436,healinghandsedinburgh@gmail.com,https://www.healinghandsedinburgh.co.uk/,https://www.google.com/maps/place/Healing+Hands+Edinburgh+The+Reiki+School/data=!4m7!3m6!1s0x4887c7aca6a7b5d3:0x3334d173dbc8cdc9!8m2!3d55.9556884!4d-3.1524024!16s%2Fg%2F11fr5r_347!19sChIJ07WnpqzHh0gRyc3I23PRNDM?authuser=0&hl=am&rclk=1
6,The Thirsty Soul - Shamanic Energy Healing & Reiki Master - Roseleen McNally,The Thirsty Soul,+353 86 889 8433,,http://www.thethirstysoul.com/,https://www.google.com/maps/place/The+Thirsty+Soul+-+Shamanic+Energy+Healing+%26+Reiki+Master+-+Roseleen+McNally/data=!4m7!3m6!1s0x48670e9c461bb80f:0xa065dafd322945dd!8m2!3d53.4703845!4d-6.6945215!16s%2Fg%2F1tf3yszr!19sChIJD7gbRpwOZ0gR3UUpMv3aZaA?authuser=0&hl=am&rclk=1
7,Kikoh Reiki in Dublin,,+353 87 760 0502,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.kikohreiki.com/about-me,https://www.google.com/maps/place/Kikoh+Reiki+in+Dublin/data=!4m7!3m6!1s0x48670e9c461bc825:0x1edca3882dc9960f!8m2!3d53.349695!4d-6.2694601!16s%2Fg%2F1tjdl54n!19sChIJJcgbRpwOZ0gRD5bJLYij3B4?authuser=0&hl=am&rclk=1
8,"Energy Healing, Reiki, Life Coaching, Indian Head Massage, Massage, Pampering Sessions",48 Lodge Cl,+44 7722 474735,,http://www.yourawakeningpath.com/,"https://www.google.com/maps/place/Energy+Healing,+Reiki,+Life+Coaching,+Indian+Head+Massage,+Massage,+Pampering+Sessions/data=!4m7!3m6!1s0x4876c3f3cc92bc13:0x56c2b0bdc1760244!8m2!3d51.7780526!4d-1.2382561!16s%2Fg%2F11b5z_mkhc!19sChIJE7ySzPPDdkgRRAJ2wb2wwlY?authuser=0&hl=am&rclk=1"
9,The Healing Room,,+44 7388 110134,,https://healingroom.wales/,https://www.google.com/maps/place/The+Healing+Room/data=!4m7!3m6!1s0x486e12c5b9a4c59d:0x245ceb60b1b84437!8m2!3d51.4913482!4d-3.4815332!16s%2Fg%2F11cm3shrk8!19sChIJncWkucUSbkgRN0S4sWDrXCQ?authuser=0&hl=am&rclk=1
10,Reiki Glasgow | Awakened Energy Healing Glasgow,96 Commerce St,+44 7932 842343,,http://www.awakenedenergyhealing.com/,https://www.google.com/maps/place/Reiki+Glasgow+%7C+Awakened+Energy+Healing+Glasgow/data=!4m7!3m6!1s0x488847888b6377e3:0xad27d6db19148aa2!8m2!3d55.852172!4d-4.2608413!16s%2Fg%2F11h_k8gx0q!19sChIJ43dji4hHiEgRoooUGdvWJ60?authuser=0&hl=am&rclk=1
