Index,Practitioner Name,Address,Phone,Email,Website,Google Maps URL
2,"Nitya Vink, Reiki Master/Success Coach",1143 1st Ave,+1 917-805-4437,,http://nityavinkinc.com/,"https://www.google.com/maps/place/Nitya+Vink,+Reiki+Master%2FSuccess+Coach/data=!4m7!3m6!1s0x89c25f2f85234c51:0x7f8131d3a24e60bf!8m2!3d40.7619797!4d-73.9605501!16s%2Fg%2F11fst69j2k!19sChIJUUwjhS9fwokRv2BOotMxgX8?authuser=0&hl=am&rclk=1"
3,Moon Yogi Holistic Healing,1337 N Sierra Bonita Ave,+1 323-450-5703,,http://www.moonyogi.com/,https://www.google.com/maps/place/Moon+Yogi+Holistic+Healing/data=!4m7!3m6!1s0x80c2bedbbbecea6f:0x4402a9d7d09eac8!8m2!3d34.0955168!4d-118.3542509!16s%2Fg%2F11fylx9btx!19sChIJb-rsu9u-woARyOoJfZ0qQAQ?authuser=0&hl=am&rclk=1
4,Prana Reiki,,+1 602-510-6720,,http://pranareiki.com/,https://www.google.com/maps/place/Prana+Reiki/data=!4m7!3m6!1s0x872b0d5f0c01a151:0x57bc8a8df7aaca3!8m2!3d33.6248633!4d-112.0150531!16s%2Fg%2F11fx_0z5z4!19sChIJUaEBDF8NK4cRo6x636jIewU?authuser=0&hl=am&rclk=1
5,Simply Reiki,,+1 713-295-0211,,http://www.simplyreikihouston.com/,https://www.google.com/maps/place/Simply+Reiki/data=!4m7!3m6!1s0x8640d9c3974d3919:0x33e8b813a3f2fbd!8m2!3d29.7515515!4d-95.5588566!16s%2Fg%2F1q69qj1xk!19sChIJGTlNl8PZQIYRvS8_OoGLPgM?authuser=0&hl=am&rclk=1
6,Bergen Counseling Collective,4525 North Ravenswood Avenue,(312) 870-0500,,,https://www.google.com/maps/place/Bergen+Counseling+Collective/data=!4m7!3m6!1s0x880fd31405749e3b:0xfc123768c62365d0!8m2!3d41.964192!4d-87.673598!16s%2Fg%2F11vyx77xp6!19sChIJO550BRTTD4gR0GUjxmg3Evw?authuser=0&hl=am&rclk=1
7,"Aura Gods - Center of Holistic Healing, Reiki, & Energy Medicine",,+1 323-794-7983,,http://www.auragods.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=8325233361477187090,"https://www.google.com/maps/place/Aura+Gods+-+Center+of+Holistic+Healing,+Reiki,+%26+Energy+Medicine/data=!4m7!3m6!1s0x80c2bf5473d1d341:0xda7a39f2cdd8d35f!8m2!3d34.1023501!4d-118.335539!16s%2Fg%2F11j_2j8qc2!19sChIJQdPRc1S_woARX9PYzfI5eto?authuser=0&hl=am&rclk=1"
8,Source Connection Energy Healing and Wellness Studio,,+1 480-577-1885,,http://www.azsourceconnection.com/,https://www.google.com/maps/place/Source+Connection+Energy+Healing+and+Wellness+Studio/data=!4m7!3m6!1s0x872b0648e47cae3f:0x629f3d3f5ff4b87c!8m2!3d33.3633332!4d-111.9139143!16s%2Fg%2F11cjh_0q1x!19sChIJP6585EgGK4cRfLj0Xz89n2I?authuser=0&hl=am&rclk=1
9,NYC Reiki Center,,+1 212-660-9918,,https://www.nycreikicenter.com/,https://www.google.com/maps/place/NYC+Reiki+Center/data=!4m7!3m6!1s0x89c259a26d8269c1:0x70eecb9a59443fcf!8m2!3d40.7371639!4d-73.9907629!16s%2Fg%2F1tgcn62s!19sChIJwWmCbaJZwokRzz9EWZrL7nA?authuser=0&hl=am&rclk=1
10,Indigo Light Path,,,,https://indigolightpath.com/,https://www.google.com/maps/place/Indigo+Light+Path/data=!4m7!3m6!1s0x8640c1142134fecb:0xb20749ee4c308bef!8m2!3d29.7466375!4d-95.3976945!16s%2Fg%2F11g8_4r60p!19sChIJy_40IRTBQIYR74swTO5JB7I?authuser=0&hl=am&rclk=1
11,Reiki West Los Angeles,13900 Marquesas Way #5121,+1 323-379-5080,,http://www.reikiwestlosangeles.com/rates?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=2643464335201068725,https://www.google.com/maps/place/Reiki+West+Los+Angeles/data=!4m7!3m6!1s0x80c2ba9d14fb439d:0x5fb1e9a17abcfd38!8m2!3d33.976627!4d-118.4516307!16s%2Fg%2F11b894hgt8!19sChIJnUP7FJ26woAROP28eqHpsV8?authuser=0&hl=am&rclk=1
