Index,Practitioner Name,Address,Phone,Email,Website,Google Maps URL
1,Patricia Loughlin - Reiki in Ireland,28 William St S,+353 87 620 9892,patricialoughlin@reikiinireland.com,http://www.reikiinireland.com/,https://www.google.com/maps/place/Patricia+Loughlin+-+Reiki+in+Ireland/data=!4m7!3m6!1s0x48670e9c48b94fcb:0x9acb99d7925eac78!8m2!3d53.3415664!4d-6.2631016!16s%2Fg%2F12hkp8xnk!19sChIJy0-5SJwOZ0gReKxekteZy5o?authuser=0&hl=am&rclk=1
5,Healing Hands Edinburgh The Reiki School,151 London Rd,+44 7563 398436,healinghandsedinburgh@gmail.com,https://www.healinghandsedinburgh.co.uk/,https://www.google.com/maps/place/Healing+Hands+Edinburgh+The+Reiki+School/data=!4m7!3m6!1s0x4887c7aca6a7b5d3:0x3334d173dbc8cdc9!8m2!3d55.9556884!4d-3.1524024!16s%2Fg%2F11fr5r_347!19sChIJ07WnpqzHh0gRyc3I23PRNDM?authuser=0&hl=am&rclk=1
7,Kikoh Reiki in Dublin,,+353 87 760 0502,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.kikohreiki.com/about-me,https://www.google.com/maps/place/Kikoh+Reiki+in+Dublin/data=!4m7!3m6!1s0x48670e9c461bc825:0x1edca3882dc9960f!8m2!3d53.349695!4d-6.2694601!16s%2Fg%2F1tjdl54n!19sChIJJcgbRpwOZ0gRD5bJLYij3B4?authuser=0&hl=am&rclk=1
11,Helen Colgan Healing Heart,Helen Colgan Healing Heart,+353 86 809 2484,colganhelen@gmail.com,https://helencolganhealingheart.ie/,https://www.google.com/maps/place/Helen+Colgan+Healing+Heart/data=!4m7!3m6!1s0x486769eca96fadd5:0x3fa1f83837547a9b!8m2!3d53.46898!4d-6.6099233!16s%2Fg%2F11lqg6pb7y!19sChIJ1a1vqexpZ0gRm3pUNzj4oT8?authuser=0&hl=am&rclk=1
16,Love and Light Scotland,Shepherd's Cottage,+44 7751 469126,namaste@loveandlightscotland.co.uk,http://www.loveandlightscotland.co.uk/,https://www.google.com/maps/place/Love+and+Light+Scotland/data=!4m7!3m6!1s0x4887118c0ab25cab:0x8e098a3ebc8b69c2!8m2!3d55.920647!4d-2.4062258!16s%2Fg%2F11mfz91vxf!19sChIJq1yyCowRh0gRwmmLvD6KCY4?authuser=0&hl=am&rclk=1
19,Helens Healing Space,,+44 7876 146237,helenshealingspace@gmail.com,http://www.helenshealingspace.co.uk/,https://www.google.com/maps/place/Helens+Healing+Space/data=!4m7!3m6!1s0x486e1dce48ba0e4d:0x73da109c19629a23!8m2!3d51.490265!4d-3.133156!16s%2Fg%2F11j35428yw!19sChIJTQ66SM4dbkgRI5piGZwQ2nM?authuser=0&hl=am&rclk=1
23,Transformational Holistics,"Room 27, Level 2, Strathmore House, 20 Princes Square",+44 7875 418822,caroline@transformationalholistics.uk,http://www.transformationalholistics.uk/,https://www.google.com/maps/place/Transformational+Holistics/data=!4m7!3m6!1s0x4888394eddbebba7:0x75f3cf0c16f8251e!8m2!3d55.7611751!4d-4.1784589!16s%2Fg%2F11pc1yf8gm!19sChIJp7u-3U45iEgRHiX4FgzP83U?authuser=0&hl=am&rclk=1
25,Clear Channel Reiki,Govan Rd,+44 7572 064208,ma_marilyn@hotmail.co.uk,https://www.clearchannelreiki.com/,https://www.google.com/maps/place/Clear+Channel+Reiki/data=!4m7!3m6!1s0x488845af17cbde83:0x8ff325ca17684690!8m2!3d55.8637395!4d-4.3128119!16s%2Fg%2F11h4ky2fq0!19sChIJg97LF69FiEgRkEZoF8ol848?authuser=0&hl=am&rclk=1
30,Reiki with me Leonor,29 Ffordd Nowell,+44 7512 442224,Reikiwithmeleonor@hotmail.com,http://reikiwithmeleonorcardiff.co.uk/,https://www.google.com/maps/place/Reiki+with+me+Leonor/data=!4m7!3m6!1s0x486e1d0e6896925b:0x1472256969031df6!8m2!3d51.4966291!4d-3.1483641!16s%2Fg%2F11vpr85s46!19sChIJW5KWaA4dbkgR9h0DaWklchQ?authuser=0&hl=am&rclk=1
34,E. Dando Holistics,"Time Counselling & Well-being Centre, 66-67, Tredegar St",+44 7841 120513,enquiries@edandoholistics.co.uk,http://www.edandoholistics.co.uk/,https://www.google.com/maps/place/E.+Dando+Holistics/data=!4m7!3m6!1s0x4871d1f75ad8adf3:0x7559baa3e146c80c!8m2!3d51.6069183!4d-3.1005672!16s%2Fg%2F11k9cx_fkx!19sChIJ863YWvfRcUgRDMhG4aO6WXU?authuser=0&hl=am&rclk=1
